,annotate_text,label,annotated_at,geo_tag,raw_text,clean_text,langid_raw,langid_clean,spacy_raw,spacy_clean
0,"<b>Raw:</b> i think it would be HILARIOUS if they redid the Chris Barnes albums with corpsegrinder with special guests by gatecreeper, undeath, &amp; bdm. 

Hint hint wink wink nudge nudge<br><b>Clean</b>: i think it would be hilarious if they redid the chris barnes albums with corpsegrinder with special guests by gatecreeper undeath and bdm hint hint wink wink nudge nudge",non-syntactic-english,2023-03-12 15:01:33,New York,"i think it would be HILARIOUS if they redid the Chris Barnes albums with corpsegrinder with special guests by gatecreeper, undeath, &amp; bdm. 

Hint hint wink wink nudge nudge<br>",i think it would be hilarious if they redid the chris barnes albums with corpsegrinder with special guests by gatecreeper undeath and bdm hint hint wink wink nudge nudge,en,en,en,en
1,"<b>Raw:</b> Y’all. We have box seats. At The Music Man. I’m shidding, pissing, farding, AND cumming. 🎶 https://t.co/hKJIywA6GP<br><b>Clean</b>: yall we have box seats at the music man im shidding pissing farding and cumming",non-syntactic-english,2023-03-12 15:02:05,New York,"Y’all. We have box seats. At The Music Man. I’m shidding, pissing, farding, AND cumming. 🎶 https://t.co/hKJIywA6GP<br>",yall we have box seats at the music man im shidding pissing farding and cumming,en,en,en,en
2,<b>Raw:</b> Y ME VAN A DAR DORMIDA EN CASA DE LOS VARELA A MI TAMBIÉN @ca_acosta @binbocruz @fervarelahn @luislarahn @oazaldivar<br><b>Clean</b>: y me van a dar dormida en casa de los varela a mi también,not-english,2023-03-12 15:02:12,New York,Y ME VAN A DAR DORMIDA EN CASA DE LOS VARELA A MI TAMBIÉN @ca_acosta @binbocruz @fervarelahn @luislarahn @oazaldivar<br>,y me van a dar dormida en casa de los varela a mi también,tl,es,ro,es
3,"<b>Raw:</b> Me acabo de comunicar con Carmen Salinas, Vicente Fernández, Juan Gabriel, John Lennon y Elvis mediante una médium y todos están a favor del @TrenMayaMX 
#TrenMayaVaXQVA #SiAlTrenMaya<br><b>Clean</b>: me acabo de comunicar con carmen salinas vicente fernández juan gabriel john lennon y elvis mediante una médium y todos están a favor del",incidental-english,2023-03-12 15:02:43,New York,"Me acabo de comunicar con Carmen Salinas, Vicente Fernández, Juan Gabriel, John Lennon y Elvis mediante una médium y todos están a favor del @TrenMayaMX 
#TrenMayaVaXQVA #SiAlTrenMaya<br>",me acabo de comunicar con carmen salinas vicente fernández juan gabriel john lennon y elvis mediante una médium y todos están a favor del,es,es,es,es
4,"<b>Raw:</b> So hard to grasp the fascination #BBMSARA2022 supporters with the #Marcoses —not that their gold will be shared w these fanatics.  #GisingPilipinas —wala kayong mapapala sa mga yan.  Konting dignidad po.

✊👉🏽#LetLeniLead2022 #LeniKiko2022 #SurigaoIsPink #LetLeniKikoLead2022 https://t.co/j6OpQ6IOnb<br><b>Clean</b>: so hard to grasp the fascination supporters with the not that their gold will be shared w these fanatics wala kayong mapapala sa mga yan konting dignidad po",informal-english,2023-03-12 15:03:07,New York,"So hard to grasp the fascination #BBMSARA2022 supporters with the #Marcoses —not that their gold will be shared w these fanatics.  #GisingPilipinas —wala kayong mapapala sa mga yan.  Konting dignidad po.

✊👉🏽#LetLeniLead2022 #LeniKiko2022 #SurigaoIsPink #LetLeniKikoLead2022 https://t.co/j6OpQ6IOnb<br>",so hard to grasp the fascination supporters with the not that their gold will be shared w these fanatics wala kayong mapapala sa mga yan konting dignidad po,en,en,en,en
5,"<b>Raw:</b> KING RENZ ✈️ DOWN BOTTOM
BROOKLYN WASSUPP ? WE HERE
@OfficiallyIce 
@JoeBudden 
@parksmusic 
@ThatsThatIsh 🚨🚨🚨🚨🚨🚨 https://t.co/SXOcGueCf0<br><b>Clean</b>: king renz down bottom brooklyn wassupp we here",informal-english,2023-03-12 15:03:13,New York,"KING RENZ ✈️ DOWN BOTTOM
BROOKLYN WASSUPP ? WE HERE
@OfficiallyIce 
@JoeBudden 
@parksmusic 
@ThatsThatIsh 🚨🚨🚨🚨🚨🚨 https://t.co/SXOcGueCf0<br>",king renz down bottom brooklyn wassupp we here,zh,en,en,af
6,"<b>Raw:</b> @ACTBrigitte 

Tuckums begged Hunter Biden for a favor. (Read👇🏽)<br><b>Clean</b>: tuckums begged hunter biden for a favor read",syntactic-english,2023-03-12 15:03:24,New York,"@ACTBrigitte 

Tuckums begged Hunter Biden for a favor. (Read👇🏽)<br>",tuckums begged hunter biden for a favor read,no,en,da,da
7,<b>Raw:</b> i wanna become a cayote for cayote ugly sooo bad<br><b>Clean</b>: i wanna become a cayote for cayote ugly sooo bad,informal-english,2023-03-12 15:03:32,New York,i wanna become a cayote for cayote ugly sooo bad<br>,i wanna become a cayote for cayote ugly sooo bad,en,en,en,en
8,<b>Raw:</b> idc what anyone says. i like this new Kendrick 😂<br><b>Clean</b>: idc what anyone says i like this new kendrick,informal-english,2023-03-12 15:03:36,New York,idc what anyone says. i like this new Kendrick 😂<br>,idc what anyone says i like this new kendrick,en,en,en,en
9,"<b>Raw:</b> Eso no es nada mi loco, hay muchos que se han ido más lejos.<br><b>Clean</b>: eso no es nada mi loco hay muchos que se han ido más lejos",not-english,2023-03-12 15:03:40,New York,"Eso no es nada mi loco, hay muchos que se han ido más lejos.<br>",eso no es nada mi loco hay muchos que se han ido más lejos,es,es,es,es
10,"<b>Raw:</b> @RubensBen You’re tooooo easy🤣🤣
Kd showed everyone why he owns the Knicks franchise<br><b>Clean</b>: youre tooooo easy kd showed everyone why he owns the knicks franchise",informal-english,2023-03-12 15:03:44,New York,"@RubensBen You’re tooooo easy🤣🤣
Kd showed everyone why he owns the Knicks franchise<br>",youre tooooo easy kd showed everyone why he owns the knicks franchise,en,en,en,en
