,id,date,rawContent,cleaned_content,english_relative_frequency
46,47,2022-01-01 22:24:53+00:00,Apne sheher ke samose best hote hai.,apne sheher ke samose best hote hai,0.2857142857142857
74,75,2022-01-01 21:37:52+00:00,"आज शौर्य दिवस के उपलक्ष में भीम आर्मी व आज़ाद समाज पार्टी भाई @Arjun Ujjainwal ,Sumit Dhika ji  ,Amit Vaid ji द्वारा ज़रूरतमंद लोगों को कम्बल वितरण किया गया । साथ में मोज़ुद रहे दक्षिणि दिल्ली लोकसभा प्रभारी सुमित वाल्मीकि जी 

आपका सेवक 
अर्जुन उज्जैनवाल 

वार्ड-74S https://t.co/DALfZ9vJhp",ujjainwal sumit dhika ji amit vaid ji 74s,0.2857142857142857
77,78,2022-01-01 21:35:24+00:00,"आज शौर्य दिवस के उपलक्ष में भीम आर्मी व आज़ाद समाज पार्टी भाई @Arjun Ujjainwal ,Sumit Dhika ji  ,Amit Vaid ji द्वारा ज़रूरतमंद लोगों को कम्बल वितरण किया गया । साथ में मोज़ुद रहे दक्षिणि दिल्ली लोकसभा प्रभारी सुमित वाल्मीकि जी 

आपका सेवक 
अर्जुन उज्जैनवाल 

वार्ड-74S https://t.co/creVYBPyoC",ujjainwal sumit dhika ji amit vaid ji 74s,0.2857142857142857
82,183,2022-01-02 23:15:09+00:00,@Voice_For_India om Shanti Shanti Shanti,om shanti shanti shanti,0.25
32,233,2022-01-03 23:24:45+00:00,1. Om Durgai Durgai Rakshnie Savaha. https://t.co/t28N6XZp3a,1 om durgai durgai rakshnie savaha,0.2
21,422,2022-01-05 23:33:02+00:00,@montene_gro_ Aff maria horrível horrível,aff maria horrível horrível,0.25
36,437,2022-01-05 23:16:19+00:00,"@Bittub933430 @ArpitBnsl @Suhelseth Magar, modi ke 5.6""ke liye woh 25 seat hi kaafi hai
Kaise rula ke bhagaya Aaj",magar modi ke 5 6ke liye woh 25 seat hi kaafi hai kaise rula ke bhagaya aaj,0.21428571428571427
73,774,2022-01-08 22:57:54+00:00,4. Om Hareeng Hanumatyai Nameh. JAISHREERAM. https://t.co/cLc8A2itat,4 om hareeng hanumatyai nameh jaishreeram,0.2
91,792,2022-01-08 22:48:16+00:00,4. Om Hareeng Hanumatyai Nameh. https://t.co/SNh5sTkbhC,4 om hareeng hanumatyai nameh,0.25
99,800,2022-01-08 22:39:02+00:00,4. Om Hareeng Hanumatyai Nameh. https://t.co/V60D9CxiY3,4 om hareeng hanumatyai nameh,0.25
3,804,2022-01-09 23:57:42+00:00,4. Om Praanm Pareenm Paroonm Sah Shanicharaye Nameh. https://t.co/gmmkbspEMU,4 om praanm pareenm paroonm sah shanicharaye nameh,0.2857142857142857
10,811,2022-01-09 23:53:17+00:00,4. Om Praanm Pareenm Paroonm Sah Shanicharaye Nameh. https://t.co/QvNEaLuG6o,4 om praanm pareenm paroonm sah shanicharaye nameh,0.2857142857142857
20,821,2022-01-09 23:46:03+00:00,esko Iphone dilao yaar!😭,esko iphone dilao yaar,0.25
32,833,2022-01-09 23:26:44+00:00,"Amrit pivohu saada chir jeewahu, Har simrat anand ananta. Rang tamasa puran aasa, kabeh na biaape chinta.
Waheguru ji khalsa 
waheguru ji ki fateh 🙏🙏 https://t.co/rr6aXkl8ag",amrit pivohu saada chir jeewahu har simrat anand ananta rang tamasa puran aasa kabeh na biaape chinta waheguru ji khalsa waheguru ji ki fateh,0.2916666666666667
39,940,2022-01-10 23:40:48+00:00,Makar Sankranti ki dher shubhkamnaye https://t.co/oqM7kWrOYZ,makar sankranti ki dher shubhkamnaye,0.2
4,1105,2022-01-12 23:47:08+00:00,@POOJA_BHARDWAJ1 @AapKaBhardwaj Pooja ji kabhi Dalhousie ki bhi khoobsurti dekhlo aake.,pooja ji kabhi dalhousie ki bhi khoobsurti dekhlo aake,0.2222222222222222
15,1216,2022-01-13 23:49:51+00:00,@SSharmajsr @V_Choudhary_27 🙏Jai bholenath 🙏 har har mahadev 🙏,jai bholenath har har mahadev,0.2
21,1222,2022-01-13 23:44:36+00:00,@PihuTyagi_ Shubh prabhat 🙏 jai bholenath 🙏,shubh prabhat jai bholenath,0.25
