,id,date,rawContent,cleaned_content,english_relative_frequency
13,14,2022-05-20 08:54:25+00:00,"Yzy x wrh 🌟 Divorce AU ft.Child!Jc
https://t.co/hnduuI5xYP",yzy x wrh divorce au ft child jc,0.625
63,64,2022-05-20 08:54:20+00:00,@_Niiiiii You’re so rich,youre so rich,0.6666666666666666
74,75,2022-05-20 08:54:18+00:00,Thank YOU Shebani 🙏❤️ https://t.co/ff5Du0z8Cz,thank you shebani,0.6666666666666666
96,97,2022-05-20 08:54:15+00:00,@mshaanshahid @ImranKhanPTI #MNA_Shaan_Shahid long live bro @mshaanshahid,long live bro,0.6666666666666666
137,138,2022-05-20 08:54:12+00:00,Speqta AB (publ) repurchase warrants - https://t.co/RlGRbMlGze,speqta ab publ repurchase warrants,0.6
177,178,2022-05-20 08:54:08+00:00,"UK Retail Sales incl fuel (Apr) act: 1.4%, exp: -0.3%, prev: -1.4%
UK Retail Sales excl fuel (Apr) act: 1.4%, exp: -0.2%, prev: -1.1%",uk retail sales incl fuel apr act 1 4 exp 0 3 prev 1 4 uk retail sales excl fuel apr act 1 4 exp 0 2 prev 1 1,0.6666666666666666
230,231,2022-05-20 08:54:03+00:00,Underground City by Kenjo Aoki via /r/Cyberpunk by u/ N7CombatWombat #cyberpunk #cyberpunk2077 #gaming https://t.co/SPLoHIQIxp,underground city by kenjo aoki via rcyberpunk by u n7combatwombat,0.6666666666666666
318,319,2022-05-20 08:53:54+00:00,@peachcrisis Didi aik chef rakh lo na,didi aik chef rakh lo na,0.6666666666666666
349,350,2022-05-20 08:53:51+00:00,@Gretagarbeige C'est ce soir ?,cest ce soir,0.6666666666666666
361,362,2022-05-20 08:53:50+00:00,"Guendouzi, Kamara, Rabiot, et pas Camavinga?
Y a un moment Il faut selectionner les joueurs sur leur niveau et pas sur le fait qu'ils jouent dans un club que le selectionneur aime bien! 
 #EquipeDeFrance #FiersdetreBleus",guendouzi kamara rabiot et pas camavinga y a un moment il faut selectionner les joueurs sur leur niveau et pas sur le fait quils jouent dans un club que le selectionneur aime bien,0.6363636363636364
427,428,2022-05-20 08:53:40+00:00,"Duppies is the most hyped project on Solana

Duppies is the most hyped project on Solana

Duppies is the most hyped project on Solana

Duppies is the most hyped project on Solana

Duppies is the most hyped project on Solana https://t.co/Pi9PCmlbH9",duppies is the most hyped project on solana duppies is the most hyped project on solana duppies is the most hyped project on solana duppies is the most hyped project on solana duppies is the most hyped project on solana,0.625
430,431,2022-05-20 08:53:40+00:00,"@goodkidbikecity sir, siya mismo ang naglagay sa sarili nya sa ganyang sitwasyon. Kung hindi ba naman sya kupal na mag gaganyan sa VP hindi sya maalanganin. yes ayaw natin sya madeport at possible na tulungan sya ni VP to become a legal immigrant but he chose to be gago, so he missed the chance",sir siya mismo ang naglagay sa sarili nya sa ganyang sitwasyon kung hindi ba naman sya kupal na mag gaganyan sa vp hindi sya maalanganin yes ayaw natin sya madeport at possible na tulungan sya ni vp to become a legal immigrant but he chose to be gago so he missed the chance,0.6226415094339622
440,441,2022-05-20 08:53:39+00:00,"https://t.co/GHnRP4RcpS
Eventos: Londres, Cambridge e Oxford para debater as fake news e seu papel impulsionador do fascismo no Brasil e no mundo,@PTLondres recomenda! @DMovies_org @VictorFraga4 @jeanwyllys_real @marciatiburi @openDemocracy #fakenewsécrime
https://t.co/VQBbLfKssr",eventos londres cambridge e oxford para debater as fake news e seu papel impulsionador do fascismo no brasil e no mundo recomenda écrime,0.6521739130434783
443,444,2022-05-20 08:53:38+00:00,"@80kph Tafuta hela, iPhone haina headphone Jack 😂😂",tafuta hela iphone haina headphone jack,0.6666666666666666
