,annotate_text,label,annotated_at,geo_tag
0,"<b>Raw:</b> i think it would be HILARIOUS if they redid the Chris Barnes albums with corpsegrinder with special guests by gatecreeper, undeath, &amp; bdm. 

Hint hint wink wink nudge nudge<br><b>Clean</b>: i think it would be hilarious if they redid the chris barnes albums with corpsegrinder with special guests by gatecreeper undeath and bdm hint hint wink wink nudge nudge",non-syntactic-english,2023-03-12 15:01:33,New York
1,"<b>Raw:</b> Y’all. We have box seats. At The Music Man. I’m shidding, pissing, farding, AND cumming. 🎶 https://t.co/hKJIywA6GP<br><b>Clean</b>: yall we have box seats at the music man im shidding pissing farding and cumming",non-syntactic-english,2023-03-12 15:02:05,New York
2,<b>Raw:</b> Y ME VAN A DAR DORMIDA EN CASA DE LOS VARELA A MI TAMBIÉN @ca_acosta @binbocruz @fervarelahn @luislarahn @oazaldivar<br><b>Clean</b>: y me van a dar dormida en casa de los varela a mi también,not-english,2023-03-12 15:02:12,New York
3,"<b>Raw:</b> Me acabo de comunicar con Carmen Salinas, Vicente Fernández, Juan Gabriel, John Lennon y Elvis mediante una médium y todos están a favor del @TrenMayaMX 
#TrenMayaVaXQVA #SiAlTrenMaya<br><b>Clean</b>: me acabo de comunicar con carmen salinas vicente fernández juan gabriel john lennon y elvis mediante una médium y todos están a favor del",incidental-english,2023-03-12 15:02:43,New York
4,"<b>Raw:</b> So hard to grasp the fascination #BBMSARA2022 supporters with the #Marcoses —not that their gold will be shared w these fanatics.  #GisingPilipinas —wala kayong mapapala sa mga yan.  Konting dignidad po.

✊👉🏽#LetLeniLead2022 #LeniKiko2022 #SurigaoIsPink #LetLeniKikoLead2022 https://t.co/j6OpQ6IOnb<br><b>Clean</b>: so hard to grasp the fascination supporters with the not that their gold will be shared w these fanatics wala kayong mapapala sa mga yan konting dignidad po",informal-english,2023-03-12 15:03:07,New York
5,"<b>Raw:</b> KING RENZ ✈️ DOWN BOTTOM
BROOKLYN WASSUPP ? WE HERE
@OfficiallyIce 
@JoeBudden 
@parksmusic 
@ThatsThatIsh 🚨🚨🚨🚨🚨🚨 https://t.co/SXOcGueCf0<br><b>Clean</b>: king renz down bottom brooklyn wassupp we here",informal-english,2023-03-12 15:03:13,New York
6,"<b>Raw:</b> @ACTBrigitte 

Tuckums begged Hunter Biden for a favor. (Read👇🏽)<br><b>Clean</b>: tuckums begged hunter biden for a favor read",syntactic-english,2023-03-12 15:03:24,New York
7,<b>Raw:</b> i wanna become a cayote for cayote ugly sooo bad<br><b>Clean</b>: i wanna become a cayote for cayote ugly sooo bad,informal-english,2023-03-12 15:03:32,New York
8,<b>Raw:</b> idc what anyone says. i like this new Kendrick 😂<br><b>Clean</b>: idc what anyone says i like this new kendrick,informal-english,2023-03-12 15:03:36,New York
9,"<b>Raw:</b> Eso no es nada mi loco, hay muchos que se han ido más lejos.<br><b>Clean</b>: eso no es nada mi loco hay muchos que se han ido más lejos",not-english,2023-03-12 15:03:40,New York
10,"<b>Raw:</b> @RubensBen You’re tooooo easy🤣🤣
Kd showed everyone why he owns the Knicks franchise<br><b>Clean</b>: youre tooooo easy kd showed everyone why he owns the knicks franchise",informal-english,2023-03-12 15:03:44,New York
11,<b>Raw:</b> When Reaves wants to fight but Tony wants to chirpppp. RELEASE HIMMMM #LGR #NYR #PLAYOFFS<br><b>Clean</b>: when reaves wants to fight but tony wants to chirpppp release himmmm,informal-english,2023-03-12 15:04:09,New York
12,<b>Raw:</b> Si supieras lo mucho que hablo de ti a diario.<br><b>Clean</b>: si supieras lo mucho que hablo de ti a diario,not-english,2023-03-12 15:04:12,New York
13,<b>Raw:</b> Niggas getting BBL’s nah son where’s the reset button<br><b>Clean</b>: niggas getting bbls nah son wheres the reset button,informal-english,2023-03-12 15:04:23,New York
14,<b>Raw:</b> BACK TO BACK HOME RUNS?! OMGGGGG!!!! YAAAAS!!!! 💪🏽💪🏽💪🏽💪🏽💪🏽💪🏽<br><b>Clean</b>: back to back home runs omggggg yaaaas,informal-english,2023-03-12 15:04:31,New York
15,<b>Raw:</b> working the MGK concert tonight but I only care ab seeing AVRIL F’ING LAVIGNE in the flesh<br><b>Clean</b>: working the mgk concert tonight but i only care ab seeing avril fing lavigne in the flesh,informal-english,2023-03-12 15:04:50,New York
16,<b>Raw:</b> Gooch grease the wildest combination of words I ever seent<br><b>Clean</b>: gooch grease the wildest combination of words i ever seent,non-syntactic-english,2023-03-12 15:05:03,New York
17,<b>Raw:</b> Como dice mana: es mas facil llegar al sol que a tu corazon 🎶<br><b>Clean</b>: como dice mana es mas facil llegar al sol que a tu corazon,not-english,2023-03-12 15:05:08,New York
18,"<b>Raw:</b> @Milrandor I didn't like Gilmour's singing voice, tbh.<br><b>Clean</b>: i didnt like gilmours singing voice tbh",informal-english,2023-03-12 15:05:22,New York
19,<b>Raw:</b> NONE OF MY FRIENDS ARE ANSWERING MY FACETIME CALLS. YALL FAKE ASF<br><b>Clean</b>: none of my friends are answering my facetime calls yall fake asf,informal-english,2023-03-12 15:05:25,New York
20,<b>Raw:</b> The tulips of Abington Square. @ Abingdon Square Park https://t.co/WRCJ3tjQEs<br><b>Clean</b>: the tulips of abington square abingdon square park,syntactic-english,2023-03-12 15:05:35,New York
21,<b>Raw:</b> @MissHoneyGold_ smh i knew yall be getting wild in there<br><b>Clean</b>: smh i knew yall be getting wild in there,informal-english,2023-03-12 15:05:40,New York
22,<b>Raw:</b> Bad bunny y Jack Harlowwwww tonight prrrr<br><b>Clean</b>: bad bunny y jack harlowwwww tonight prrrr,informal-english,2023-03-12 15:05:43,New York
